# PHASE 7 MODEL EVALUATION REPORT

## 1. CLASSIFICATION METRICS
Model,5-Fold CV Accuracy,5-Fold CV F1-Score,Test Accuracy (%),Test Precision (%),Test Recall (%),Test F1-Score (%),ROC-AUC
Random Forest,87.5% ± 3.67%,87.52% ± 2.73%,87.5,89.72,87.5,87.84,0.991
XGBoost,85.42% ± 3.16%,84.79% ± 3.15%,87.5,89.36,87.5,87.67,0.9898
Logistic Regression,87.08% ± 2.6%,86.75% ± 1.87%,87.5,89.21,87.5,87.58,0.9903
Decision Tree,83.54% ± 3.12%,83.32% ± 2.39%,82.29,86.21,82.29,82.79,0.9773

## 2. CLUSTERING METRICS
Clustering Model,Silhouette Score (Higher=Better),Davies-Bouldin Index (Lower=Better),Verdict
K-Means (K=3),0.4627,0.8867,"Selected for production - Centroid based, low latency"
Hierarchical Agglomerative (K=3),0.4634,0.9043,Validated baseline - High cluster cohesion

## 3. RECOMMENDATION METRICS
K (Top Courses),Recommendation Precision@K (%),Recommendation Recall@K (%),F1-Score @ K (%)
K=1,52.81,68.76,59.73
K=2,47.11,75.02,57.88
K=3,44.4,76.79,56.27
